TECTONIC SETTING,LATITUDE,LONGITUDE,LAND OR SEA,SAMPLE NAME,SIO2(WT%),TIO2(WT%),AL2O3(WT%),Fe2O3T(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),Fe2O3T,NI(PPM),CU(PPM),ZN(PPM),SC(PPM),V(PPM),CR(PPM),CO(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM)
INTRAPLATE VOLCANICS,32.6167,118.3913,SAE,s_13LA12-3 [20548],47.21,2.29,12.94,11.0,8.77,6.98,0.12,1.23,4.4,0.69,11.0,328.0,66.0,104.0,18.5,203.0,457.0,61.8,20.1,801.0,22.0,195.0,59.5,0.5,449.0,34.3,64.9,7.48,31.0,7.06,2.27,6.31,0.89,5.01,0.82,2.09,0.25,1.47,0.19,4.44,3.35
INTRAPLATE VOLCANICS,32.6167,118.3913,SAE,s_13LA12-4 [20548],48.16,2.16,13.06,10.82,8.52,6.69,0.13,1.27,3.91,0.58,10.82,310.0,54.8,105.0,18.6,190.0,417.0,57.4,21.8,708.0,20.6,166.0,47.0,0.43,411.0,28.9,54.6,6.48,27.1,6.17,2.12,5.8,0.85,4.78,0.79,2.02,0.25,1.44,0.2,4.12,2.66
INTRAPLATE VOLCANICS,32.8838,118.28299999999999,SAE,s_13XY16-1 [20548],47.58,2.14,12.87,10.66,8.1,9.37,0.15,1.68,2.66,0.54,10.66,248.0,66.2,113.0,19.3,200.0,284.0,60.4,24.1,700.0,23.7,213.0,54.4,0.4,448.0,34.3,65.9,7.68,31.3,6.86,2.3,6.53,0.94,5.38,0.89,2.28,0.3,1.65,0.23,4.87,3.16
INTRAPLATE VOLCANICS,32.8867,118.2852,SAE,s_11XY01-1 [20548],47.12,2.57,13.62,12.03,8.91,6.37,0.15,1.43,3.7,0.77,12.03,141.5,64.27,133.2,16.46,214.1,162.2,59.87,32.08,881.1,20.64,232.8,72.99,0.52,538.7,37.39,68.76,8.49,35.48,7.33,2.37,7.05,0.98,4.98,0.83,1.95,0.26,1.5,0.22,7.66,4.14
INTRAPLATE VOLCANICS,32.876999999999995,118.2698,SAE,s_11XY02-1 [20548],47.43,2.58,13.44,12.05,9.29,6.39,0.15,1.22,3.41,0.77,12.05,194.6,74.78,142.7,19.9,223.6,235.4,63.35,12.68,844.6,25.74,246.9,61.31,0.54,601.9,41.79,76.71,9.58,38.72,8.21,2.66,7.48,1.17,5.81,0.97,2.34,0.32,1.85,0.26,8.01,2.8
INTRAPLATE VOLCANICS,32.876999999999995,118.2698,SAE,s_11XY02-2 [20548],48.23,2.55,13.14,11.86,8.86,6.97,0.17,0.8,3.49,0.74,11.86,156.6,67.85,132.9,19.0,183.1,212.5,60.89,23.23,817.2,24.74,245.2,56.46,0.51,570.5,39.66,72.54,9.3,38.35,7.86,2.52,7.45,1.14,5.82,0.96,2.36,0.32,1.91,0.27,8.16,3.01
INTRAPLATE VOLCANICS,32.876999999999995,118.2698,SAE,s_11XY02-4 [20548],48.06,2.24,13.31,11.47,9.41,7.63,0.15,1.7,2.63,0.57,11.47,251.0,74.57,133.5,18.73,194.9,285.5,60.75,27.4,682.7,20.92,201.4,61.53,0.45,526.4,29.8,55.14,6.93,29.1,6.1,1.99,6.05,0.92,4.75,0.8,2.05,0.26,1.69,0.24,6.71,3.48
INTRAPLATE VOLCANICS,29.3755,91.1539,SAE,s_TS4-23 [20552],53.0,0.6,14.67,8.07,7.92,6.78,0.18,2.18,1.74,0.21,8.07,28.62,170.9,88.66,47.22,353.4,117.22,24.66,39.16,491.8,14.96,65.08,1.42,0.6,217.4,11.32,27.08,3.59,17.78,4.22,1.18,3.75,0.49,2.81,0.52,1.58,0.22,1.49,0.22,1.72,0.08
INTRAPLATE VOLCANICS,29.3899,91.1472,SAE,s_TS4-03 [20552],53.16,0.7,17.63,7.74,9.09,3.59,0.14,0.11,2.6,0.16,7.74,18.48,80.2,80.08,33.06,434.8,37.84,28.38,1.46,909.4,15.09,75.64,2.45,0.07,14.06,7.24,17.33,2.36,10.64,2.54,0.79,2.62,0.35,1.89,0.38,1.12,0.16,1.06,0.15,1.18,0.09
INTRAPLATE VOLCANICS,29.3871,91.1476,SAE,s_TS4-07 [20552],51.49,0.93,17.71,8.41,6.4,3.38,0.2,0.81,4.86,0.42,8.41,6.84,148.38,101.06,27.38,379.0,2.29,29.44,14.62,862.2,21.8,56.66,1.44,0.26,171.92,14.46,33.62,4.51,20.48,4.71,1.34,4.59,0.57,2.82,0.52,1.49,0.2,1.34,0.19,0.96,0.05
INTRAPLATE VOLCANICS,32.8334,84.4221,SAE,s_10DB08 [20557],52.81613905,3.853663965,17.71026194,9.4,4.127841685,1.17056687,0.0698,3.11409233,5.625196022000001,1.0653473759999998,9.4,23.82,29.12,77.5,12.4,176.0,8.0,19.2,73.25,283.0,37.7,285.0,77.7,3.503,298.0,34.9,84.1,10.76,44.28,9.43,2.8819999999999997,8.38,1.232,6.94,1.379,3.57,0.505,3.23,0.46,6.45,4.902
INTRAPLATE VOLCANICS,32.8334,84.4221,SAE,s_10DB09 [20557],53.17299752,3.459950454,16.82803468,9.87,4.995871181,1.680429397,0.08773740699999999,3.13583815,4.637696119,1.029108175,9.87,16.46,13.66,105.0,11.9,121.0,2.0,15.2,73.25,229.0,28.8,240.0,66.6,2.748,238.0,33.1,70.3,9.027000000000001,36.98,7.66,2.394,6.8,0.9790000000000001,5.49,1.088,2.82,0.4018,2.54,0.371,5.64,4.199
INTRAPLATE VOLCANICS,35.3,102.77,SAE,s_HQ10-2 [19326],47.98,3.1,15.29,9.37,5.55,5.81,0.05,0.74,2.62,0.44,10.6,132.0,36.4,74.4,19.6,211.0,228.0,49.6,8.36,1102.0,25.1,240.0,44.9,1.83,163.0,27.9,57.4,7.02,29.4,6.06,2.01,5.82,0.91,4.85,0.87,2.26,0.32,1.87,0.26,4.98,2.55
INTRAPLATE VOLCANICS,35.3,102.77,SAE,s_HQ10-4 [19326],49.58,2.74,15.19,10.78,3.99,5.9,0.05,0.42,3.54,0.21,10.6,241.0,215.0,60.8,21.8,224.0,488.0,39.7,9.91,823.0,19.4,192.0,34.8,1.13,191.0,18.8,12.3,5.11,21.5,4.73,1.56,4.53,0.71,4.04,0.76,2.02,0.28,1.71,0.26,3.98,2.02
OCEAN ISLAND,64.8772,-16.8574,SAE,s_BB-1 [20581],50.39,1.814,13.67,11.392000000000001,12.06,6.98,0.214,0.21,2.38,0.23,12.48,60.0,160.0,100.0,47.0,384.0,80.0,52.0,4.0,162.0,30.0,90.0,13.0,0.0,49.0,7.2,17.2,2.66,12.6,3.8,1.37,4.6,0.8,5.1,1.0,3.1,0.46,2.9,0.42,2.7,0.6
OCEAN ISLAND,64.8833,-16.8333,SAE,s_BB-2 [20581],50.23,1.7890000000000001,13.66,12.48,12.0,6.97,0.217,0.21,2.36,0.18,11.82,60.0,160.0,100.0,46.0,379.0,80.0,52.0,4.0,161.0,29.0,91.0,13.0,0.0,47.0,7.2,17.2,2.71,13.0,4.0,1.37,4.6,0.8,5.1,1.0,3.1,0.45,2.9,0.44,2.6,0.7
OCEAN ISLAND,64.9323,-16.5171,SAE,s_BB-3 [20581],50.01,1.7719999999999998,13.5,11.82,12.03,7.0,0.213,0.2,2.33,0.18,12.21,60.0,160.0,100.0,46.0,378.0,80.0,52.0,4.0,160.0,28.0,89.0,12.0,0.0,46.0,7.3,17.6,2.69,13.3,3.9,1.36,4.5,0.8,5.2,1.1,3.2,0.47,2.9,0.43,2.6,0.6
INTRAPLATE VOLCANICS,44.3608,131.0478,SAE,s_SF02-1 [17984],48.0,1.5,16.52,10.85,9.72,6.11,0.13,0.68,2.47,0.36,10.75,113.92,37.4,85.44,32.45,251.76,316.76,40.74,9.58,344.4,32.04,135.31,5.05,0.36,182.97,15.33,38.04,5.21,24.71,5.97,1.78,5.88,0.96,5.54,1.15,3.08,0.47,3.13,0.48,3.58,0.32
INTRAPLATE VOLCANICS,44.3608,131.0478,SAE,s_SF02-2 [17984],47.69,1.47,16.75,10.75,9.36,6.18,0.14,0.68,2.42,0.34,10.67,115.9,43.54,86.27,31.46,246.17,339.72,41.59,8.92,333.37,30.63,114.79,4.78,0.42,176.52,14.39,35.95,4.89,23.55,5.75,1.74,5.67,0.92,5.38,1.11,2.96,0.45,3.03,0.46,3.4,0.3
INTRAPLATE VOLCANICS,44.3608,131.0478,SAE,s_SF02-3 [17984],47.83,1.47,16.75,10.67,9.26,6.8,0.14,0.68,2.39,0.34,10.69,98.69,37.87,73.7,32.69,170.39,315.82,35.89,8.71,328.02,30.75,97.91,4.07,0.47,169.11,14.61,32.95,4.93,23.87,5.75,1.73,5.67,0.92,5.33,1.11,2.99,0.45,3.07,0.47,2.88,0.26
CONTINENTAL FLOOD BASALT,54.7,87.03,SAE,s_N-85 [20623],49.37,1.61,15.52,6.46,8.39,5.06,0.22,1.04,3.03,0.66,11.69,30.53,21.95,146.39,33.32,192.82,57.71,35.08,15.45,625.71,40.31,217.81,13.67,0.89,635.07,42.78,93.02,11.89,45.3,9.31,2.42,8.37,1.2,6.8,1.42,4.15,0.64,4.18,0.61,5.58,0.8
CONVERGENT MARGIN,-33.9871,-68.9274,SAE,s_127312 [20550],49.74,1.4,15.95,13.69,11.44,6.72,0.17,1.64,3.5,0.46,8.44,74.62,51.19,62.74,27.59,256.78,192.08,35.92,47.37,986.0,20.47,140.72,17.36,1.57,681.0,25.86,52.86,6.89,27.96,5.79,1.64,5.19,0.735,3.77,0.7190000000000001,1.9,0.265,1.57,0.237,3.52,0.895
CONVERGENT MARGIN,-34.0697,-68.7543,SAE,s_127318 [20550],45.67,1.46,15.38,8.44,11.13,10.49,0.19,1.42,3.11,0.82,9.57,184.03,56.24,74.95,30.94,262.94,375.37,46.33,33.74,1209.6,28.92,171.22,20.4,2.34,776.75,40.34,80.57,10.08,40.94,8.14,2.38,7.59,1.056,5.34,1.037,2.72,0.425,2.52,0.38299999999999995,4.11,1.088
CONVERGENT MARGIN,-34.0772,-68.7434,SAE,s_127323 [20550],45.53,1.41,14.88,9.57,11.88,10.06,0.19,1.41,3.24,0.85,9.79,174.36,54.01,67.24,24.47,215.64,341.84,39.37,18.23,1004.0,26.02,150.89,18.11,2.74,723.0,36.91,70.12,9.18,36.44,7.24,2.03,6.79,0.95,5.01,0.937,2.56,0.35200000000000004,2.16,0.332,3.44,0.961
CONVERGENT MARGIN,-34.2503,-69.0282,SAE,s_126051 [20550],45.97,1.51,15.28,13.27,10.56,11.2,0.18,0.72,3.41,0.54,9.76,206.94,47.58,75.75,30.24,272.82,402.09,46.29,28.33,868.0,23.94,148.06,16.39,1.67,532.0,35.26,71.07,8.5,34.95,6.99,1.98,6.19,0.855,4.48,0.8079999999999999,2.14,0.295,1.8,0.259,3.37,0.902
CONVERGENT MARGIN,-34.2785,-69.0944,SAE,s_127311 [20550],45.27,1.38,15.29,9.76,11.54,10.87,0.18,1.07,2.98,0.49,10.05,186.43,60.11,64.42,24.27,213.02,438.94,40.47,14.86,662.0,17.82,102.6,9.48,0.75,397.0,24.4,47.38,6.3,25.57,5.26,1.45,4.82,0.675,3.54,0.649,1.7,0.22899999999999998,1.37,0.20600000000000002,2.52,0.52
CONVERGENT MARGIN,-34.2505,-69.0251,SAE,s_127424 [20550],45.93,1.56,15.81,10.05,11.21,11.01,0.18,1.42,3.15,0.57,10.17,201.85,64.9,80.75,31.38,264.73,420.61,46.9,30.63,837.0,23.69,146.8,16.49,1.58,563.0,35.69,72.62,9.17,36.47,7.36,2.08,6.85,0.9109999999999999,4.96,0.848,2.27,0.31,1.82,0.27399999999999997,3.67,0.914
CONVERGENT MARGIN,-34.4692,-68.8693,SAE,s_126078 [20550],47.48,1.58,14.87,10.21,12.12,6.67,0.17,1.34,3.04,0.56,10.07,249.51,51.97,73.09,28.08,233.53,496.42,48.37,23.11,851.0,22.23,135.32,12.76,0.57,480.0,23.25,48.29,6.49,27.08,5.67,1.67,5.43,0.785,4.24,0.805,2.16,0.301,1.86,0.27899999999999997,3.26,0.713
CONVERGENT MARGIN,-34.4785,-68.8604,SAE,s_126077 [20550],45.39,1.34,15.24,10.07,11.05,11.28,0.2,0.98,2.31,0.56,10.63,239.64,35.93,75.65,27.35,230.64,508.2,49.52,25.17,992.0,23.64,138.89,10.99,1.36,607.0,38.32,77.47,9.94,40.62,7.64,2.18,6.8,0.925,4.65,0.83,2.2,0.292,1.81,0.263,3.67,0.599
CONVERGENT MARGIN,-34.4934,-68.8265,SAE,s_127327 [20550],47.4,1.44,15.72,10.63,11.1,8.77,0.18,1.24,3.04,0.47,9.78,97.67,64.09,77.78,31.7,280.06,281.36,40.01,28.41,949.0,21.37,128.43,11.77,1.04,616.0,27.42,54.42,7.18,28.96,5.78,1.66,5.43,0.755,4.11,0.772,2.05,0.273,1.68,0.247,3.11,0.654
CONVERGENT MARGIN,-34.6378,-69.0848,SAE,s_123964 [20550],48.4,1.71,16.53,9.78,10.62,6.54,0.16,1.03,3.52,0.43,10.32,57.72,57.49,71.98,38.22,297.18,202.91,37.37,26.07,705.0,20.01,114.32,11.21,1.15,495.0,24.85,49.96,6.24,25.69,5.13,1.64,5.18,0.711,3.95,0.721,1.9,0.253,1.6,0.23199999999999998,3.01,0.625
CONVERGENT MARGIN,-34.5872,-69.1416,SAE,s_127437 [20550],47.8,1.44,16.02,10.32,11.15,9.5,0.18,1.17,2.99,0.38,10.01,151.74,56.81,77.24,30.55,257.4,338.92,44.56,25.12,645.0,21.27,117.65,9.27,0.88,473.0,20.89,44.17,5.74,24.03,5.09,1.55,5.04,0.722,4.13,0.763,2.07,0.295,1.83,0.268,3.03,0.506
CONVERGENT MARGIN,-34.818000000000005,-68.815,SAE,s_127001 [20550],45.51,1.43,15.77,10.01,12.27,9.38,0.17,1.13,3.28,0.47,9.81,167.51,41.17,73.84,26.88,237.0,297.94,43.18,23.25,753.0,22.55,115.53,13.13,1.06,562.0,26.67,52.45,5.83,24.3,4.99,1.64,5.14,0.74,4.17,0.8,2.13,0.31,1.84,0.29,2.84,0.67
CONVERGENT MARGIN,-34.5403,-69.2658,SAE,s_126083 [20550],48.88,1.32,15.43,13.28,10.2,9.46,0.17,1.36,2.9,0.46,9.12,152.73,69.86,64.63,29.25,249.94,358.16,42.27,26.9,873.0,21.56,134.58,10.92,1.36,597.0,25.33,51.86,6.89,28.33,5.68,1.68,5.24,0.757,4.16,0.779,2.07,0.309,1.76,0.272,3.43,0.621
CONVERGENT MARGIN,-34.7642,-69.421,SAE,s_126085 [20550],47.48,1.81,17.19,9.12,10.7,6.79,0.18,1.62,3.14,0.57,9.87,49.59,60.72,71.01,31.11,290.23,120.42,37.37,31.15,893.0,25.98,147.71,15.12,1.54,632.0,28.15,57.1,7.59,31.57,6.4,1.86,5.96,0.8909999999999999,4.82,0.904,2.51,0.348,2.19,0.33299999999999996,3.61,0.868
CONVERGENT MARGIN,-34.5923,-69.031,SAE,s_123965 [20550],48.38,1.57,14.97,9.87,9.36,9.84,0.16,1.07,3.18,0.34,10.5,207.08,50.49,84.21,24.08,206.47,393.94,49.12,23.37,617.0,21.86,115.15,10.48,0.65,352.0,17.04,35.91,4.63,19.93,4.65,1.54,4.92,0.716,3.95,0.7759999999999999,2.08,0.282,1.79,0.26,2.77,0.595
CONVERGENT MARGIN,-34.5935,-68.5571,SAE,s_127307 [20550],48.21,1.43,15.02,10.5,10.05,10.03,0.16,1.01,3.01,0.34,10.15,200.04,47.15,89.41,29.26,231.62,413.61,52.63,23.16,544.3,22.88,112.19,11.52,0.68,415.85,18.28,37.24,4.82,20.97,4.71,1.5,4.69,0.746,4.17,0.823,2.23,0.312,1.96,0.295,2.86,0.63
CONVERGENT MARGIN,-37.858117,-68.5893,SAE,s_AM37 [20531],47.31,2.11,15.12,10.78,9.62,7.87,0.14,1.18,3.66,0.54,9.92,146.0,42.7,142.0,16.6,204.0,330.0,43.6,18.0,692.0,19.9,142.0,22.6,0.3,286.0,17.1,38.8,4.9,21.6,5.1,1.7,4.7,0.7,4.0,0.7,1.7,0.2,1.4,0.2,3.3,1.5
CONVERGENT MARGIN,-37.801,-68.587417,SAE,s_AM79 [20531],47.22,2.0,15.11,9.92,9.31,8.4,0.16,0.95,3.48,0.59,11.27,172.0,51.5,126.0,16.7,197.0,311.0,50.6,19.2,633.0,20.1,124.0,18.1,0.4,290.0,14.9,33.9,4.3,19.9,5.2,1.7,5.0,0.7,3.7,0.7,1.6,0.3,1.6,0.2,2.9,1.2
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_A2 [20730],48.49,0.82,13.05,15.655999999999999,12.79,9.69,0.12,0.88,1.73,0.14,8.9,125.01072679999999,33.63175442,7.779124143,20.23747534,172.6252331,335.1472487,37.32678978,32.04569218,67.5862959,16.27770613,54.07436457,2.18033915,0.301340179,40.80729988,4.526092848999999,9.192518278,1.4695437340000002,6.448438029,1.661572765,0.659651011,2.21652303,0.40787886799999995,2.75515972,0.6189529429999999,1.885005455,0.28572664600000003,1.7444808669999998,0.274666235,1.030034686,0.134396567
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_A3 [20730],47.95,0.83,13.56,8.9,12.6,10.05,0.13,0.77,1.94,0.14,8.91,133.4198578,38.69269976,7.302014144,22.77836692,194.0016199,363.0115347,39.39756243,27.71386549,73.39313368,16.6985608,52.28332059,2.268823147,0.275133685,39.01270317,4.998426505,9.845487664,1.575588846,6.861168255,1.712080324,0.689583945,2.290850296,0.411117346,2.683411095,0.627877356,1.922336401,0.28349541,1.6137633180000002,0.265289702,0.944161197,0.140871449
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_A4 [20730],47.75,0.85,12.85,8.91,12.78,9.22,0.12,0.75,1.79,0.14,8.57,132.1908879,38.77683727,7.072156849,22.76950894,195.5822124,368.4742706,39.40677184,28.24262907,75.12506778,16.9345793,53.58062114,2.283991467,0.272146709,39.12781665,5.032014275,9.79796853,1.557801318,6.7222193720000005,1.697179812,0.717283483,2.2137737719999997,0.39784538700000005,2.662587946,0.61914208,1.8761215080000002,0.278547551,1.5983761580000002,0.26132807199999997,0.933986862,0.143119029
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_A5 [20730],48.1,0.85,13.33,8.57,12.87,9.83,0.12,0.66,1.83,0.14,8.85,144.9026394,37.55520673,8.596880455,23.07303011,195.6918129,363.6959465,41.90436965,23.82501028,72.28049617,18.01199724,63.47028564,2.53670033,0.252293657,38.958013,5.229933105,10.68123276,1.70734911,7.482451052999999,1.958237159,0.766061764,2.619350322,0.461980667,3.039316623,0.6994466909999999,2.132491284,0.313260186,1.8575824090000002,0.312585619,1.2112283320000001,0.20349542399999998
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_A6 [20730],47.99,0.85,13.32,8.85,12.79,9.96,0.13,0.64,1.96,0.14,9.2,127.07532979999999,34.14626801,7.543813913999999,21.58770315,175.62154030000002,336.6066786,38.4702031,24.53020055,56.08461323,17.19414601,58.71958514,2.364642095,0.249378397,41.97334468,5.17564475,10.61561176,1.682519635,7.206784311,1.8561068569999999,0.713462672,2.373720046,0.42696206200000003,2.915476997,0.6806195309999999,2.068960422,0.315487019,1.790512216,0.310212667,1.16788335,0.172795211
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_A7 [20730],48.38,0.85,12.97,9.2,11.95,9.31,0.13,0.66,2.9,0.14,9.3,141.02506169999998,37.97899464,6.26945084,22.35595483,184.8242627,353.1075122,40.17966473,20.08581329,62.30659968,17.81660063,60.25384321,2.397760599,0.159940189,41.60725632,5.097855408,10.47234184,1.6296749830000001,6.983348427999999,1.8110234,0.628614586,2.413359739,0.446242104,2.9017378760000003,0.68683359,2.059388612,0.309810999,1.8642159880000002,0.298665913,1.110585126,0.113147845
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_A9 [20730],48.66,0.86,13.0,9.3,12.4,9.19,0.12,0.49,2.35,0.14,8.17,159.020184,36.382801,8.232565833999999,21.945462399999997,188.12375419999998,335.6168139,43.61742034,13.45737689,51.92392431,17.50065554,64.73730821,2.5869356569999997,0.14029987,56.1010409,5.171578308,10.84526477,1.728042378,7.816430112999999,2.060067861,0.821999811,2.488046597,0.47390483,3.0165152330000002,0.695383014,2.119024103,0.304535601,1.769201293,0.292668543,1.230510918,0.169803111
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_T1 [20730],53.65,0.66,11.99,8.17,11.33,6.43,0.12,1.12,2.86,0.13,8.99,45.45935116,121.2775419,129.9428426,19.86304467,151.51281930000002,41.20848801,48.007839700000005,28.55352937,244.28508349999998,19.85353009,112.602203,8.269264276,0.254845886,243.0708743,18.96402656,36.03404372,3.3687038639999995,16.72975614,3.4179940380000002,1.153813103,3.659776222,0.58291132,3.14217229,0.639665694,2.003118324,0.326546942,1.750055844,0.258986968,2.538433625,1.307063251
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_T2 [20730],53.57,0.66,12.28,8.99,11.31,6.42,0.12,1.34,2.8,0.14,8.94,38.94471649,115.2671953,144.1423918,17.32388758,149.2316397,27.97697799,46.15386649,33.71206261,240.35438419999997,19.52002919,127.7568683,8.901604016,0.254701106,248.35004669999998,17.54217827,33.53120433,3.169355009,16.01086827,3.208347822,1.118566542,3.55375102,0.5650526610000001,3.0929488660000004,0.624328647,1.9787684030000001,0.323776771,1.752570054,0.25987263,2.8246645669999997,1.7781327080000002
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_T3 [20730],53.49,0.69,11.69,8.94,11.53,6.58,0.13,1.2,2.72,0.13,9.22,46.23201441,102.6496604,177.9994081,20.14629905,156.5741834,147.815053,49.42648005,30.19862176,215.9140103,22.46838683,121.39556999999999,9.874380073,0.215783506,311.19746349999997,19.18020448,37.51911232,3.565914839,17.90918473,3.6451902,1.101460151,4.010570445,0.649103923,3.582773565,0.725605561,2.2953707519999997,0.379775005,2.024611652,0.30001225600000003,2.751956083,1.513095689
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_T4 [20730],53.14,0.53,12.92,9.22,11.11,6.77,0.12,1.52,2.74,0.12,8.3,54.10890219,92.04515572,82.59498154,15.75031469,130.41836709999998,110.27855819999999,45.46525067,43.40539571,268.2483626,16.60805558,102.9844364,7.614332489,0.31105990899999997,222.98990419999998,14.68938984,27.89359138,2.623040809,13.32452527,2.746559861,1.0719218959999999,2.9619307569999997,0.483093964,2.634632462,0.536637951,1.702190494,0.276070373,1.4855044880000001,0.22373674100000002,2.319909369,1.070173883
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_T5 [20730],53.28,0.68,12.51,8.3,11.27,6.66,0.12,1.36,2.69,0.13,8.89,41.239445,114.4867966,174.8656061,16.89638172,151.9049021,29.84265199,46.91852708,38.15651969,255.64599500000003,18.80292871,103.03867890000001,8.407062196,0.249620449,240.8406369,15.94415722,30.31644117,2.931340327,15.08173046,3.1193435289999996,1.108436242,3.382263521,0.546236921,2.958866535,0.606033499,1.9334612290000002,0.314443862,1.6975288,0.24704908,2.279763472,1.078099689
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_T10 [20730],52.98,0.67,11.73,8.37,12.32,6.46,0.14,0.58,2.36,0.12,9.65,43.11008087,59.23864432,61.23391603,21.79546276,129.95459209999999,361.39554300000003,43.55188078,14.7195267,106.7184311,17.18728995,84.62901927,6.331592034,0.133207229,84.51398443,10.95008902,22.72524426,2.251367541,11.86299814,2.547705798,0.798813216,2.88363953,0.481598641,2.6781070319999998,0.5539025870000001,1.782207216,0.286130115,1.58327348,0.23320746899999997,1.948894967,0.7649806990000001
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_T11 [20730],53.65,0.66,11.52,9.65,12.42,6.77,0.14,0.77,2.01,0.12,9.66,56.87397541,101.1661147,95.82834677,29.32642727,177.7460237,465.623134,58.00869419,27.31503372,150.4047531,23.33228848,108.70886229999999,7.99076213,0.165932915,139.8346324,15.246518799999999,31.44886252,3.1265930369999997,16.27160721,3.47667884,1.131385872,3.9375125730000002,0.6559364520000001,3.656254756,0.753259061,2.372565555,0.389540901,2.099642732,0.309322645,2.503876161,1.351821936
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_T12 [20730],52.98,0.64,11.92,9.66,12.49,6.54,0.14,0.9,1.92,0.12,9.75,69.08262409,96.33655877,86.24360687,28.74400623,171.6720747,541.1800567,57.50704136,33.38056557,181.55160130000002,22.46813423,111.8616515,7.890420615,0.227751591,169.2347727,14.27427719,29.5391946,2.938412946,15.33250117,3.324861491,0.973307505,3.76170776,0.6246644689999999,3.506274893,0.72131017,2.29798028,0.38191697700000005,2.107500634,0.309889374,2.544893322,1.085400294
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_T13 [20730],51.83,0.69,11.2,9.75,12.24,7.34,0.15,0.68,2.42,0.11,10.44,56.41354151,70.9621515,88.76872425,29.88542551,181.4282583,473.2589371,59.33666258,21.63020346,113.2961243,21.77383743,114.9455257,7.927011619,0.158354417,143.8096878,14.62646243,30.08528281,2.964150675,15.41244556,3.311577686,0.8494934670000001,3.6991598810000004,0.61578945,3.4553101280000003,0.711575565,2.234189373,0.37256364700000005,2.062402944,0.307913792,2.616776563,1.6284274069999998
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_T14 [20730],52.45,0.69,12.77,10.44,12.04,7.01,0.14,0.73,2.34,0.12,9.58,83.59158374,97.90385442,81.48849296,30.88041707,186.34838530000002,626.0509292,59.60375022,25.81991727,130.577317,23.67869986,113.4462017,9.300875547999999,0.185351027,123.589096,14.96260927,31.27491774,3.0992462119999997,16.176862,3.518005441,1.047303227,3.969990585,0.662894886,3.6512127289999996,0.755395435,2.421363742,0.40075006,2.1278169730000003,0.315556135,2.589932107,1.089373765
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_T15 [20730],52.8,0.64,12.75,9.58,12.27,6.81,0.13,0.95,1.96,0.12,9.12,67.90502213,94.43842017,109.913707,29.99126837,179.3367649,542.9893685,57.11558075,34.51525056,212.9933108,22.93357449,110.84250049999999,8.098803501,0.267835865,185.6422158,15.31723805,31.42088591,3.11587723,16.12913098,3.474173277,1.133371227,3.9314472389999997,0.645054891,3.5966048280000003,0.733462095,2.343873323,0.385134652,2.133256523,0.312791235,2.528796068,1.173689936
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_M16 [20730],52.02,0.68,10.46,9.12,12.33,7.56,0.13,0.86,2.25,0.11,9.41,23.95267997,98.61549766,153.1937862,23.12725033,219.1741381,17.27158372,44.76673513,48.91494852,404.6397261,35.07836321,191.7309998,13.58838724,0.5615008920000001,227.9871701,27.14446537,56.47093073,5.525858492999999,27.8979021,5.799219647999999,1.9757452869999999,6.2667726020000005,1.016351335,5.422396635,1.121905065,3.519039255,0.5649642260000001,3.1154939610000003,0.455875815,4.313665338,1.882049914
INTRAPLATE VOLCANICS,21.6496,85.3498,SAE,s_M17 [20730],53.6,0.61,10.26,9.41,12.9,7.34,0.13,0.52,2.19,0.11,9.11,22.38389325,124.9825815,108.5130669,24.31211525,184.9183374,19.89608805,48.60869912,58.51370947,271.6401233,36.19191901,203.8492444,13.78363844,0.404678201,340.29787200000004,28.23748462,58.29395739,5.763117378,29.00375807,6.123857339,1.632507385,6.522101656,1.067969715,5.688467012,1.16146169,3.6525419130000003,0.5988580929999999,3.260787337,0.48205519,4.5860178419999995,1.933215685
