TECTONIC SETTING,LATITUDE,LONGITUDE,LAND OR SEA,SAMPLE NAME,SIO2(WT%),TIO2(WT%),AL2O3(WT%),Fe2O3T(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),Fe2O3T,NI(PPM),CU(PPM),ZN(PPM),SC(PPM),V(PPM),CR(PPM),CO(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM)
INTRAPLATE VOLCANICS,29.29,121.42,SAE,s_12XC18-1 [19608],52.4,2.14,13.79,10.2,9.38,6.8,0.12,0.65,3.0,0.34,10.24,118.0,59.3,111.0,20.0,172.0,193.0,46.6,5.59,437.0,22.0,128.0,21.7,0.08,259.0,16.7,33.6,4.13,18.4,4.84,1.81,5.3,0.81,4.48,0.77,2.01,0.28,1.55,0.2,3.24,1.17
INTRAPLATE VOLCANICS,29.29,121.42,SAE,s_12XC18-2 [19608],52.19,2.13,13.76,10.0,9.11,7.07,0.14,0.88,3.01,0.34,10.23,154.0,62.3,111.0,19.6,170.0,192.0,48.1,7.99,414.0,23.2,129.0,21.5,0.07200000000000001,287.0,16.9,33.3,4.16,18.9,5.19,1.79,5.46,0.8,4.35,0.78,2.08,0.27,1.53,0.22,3.27,1.14
INTRAPLATE VOLCANICS,29.29,121.42,SAE,s_12XC20-1 [19608],45.15,2.89,12.07,10.15,10.91,9.5,0.17,0.84,3.5,0.87,12.7,208.0,73.9,141.0,19.1,226.0,197.0,65.4,27.2,872.0,27.1,215.0,73.3,1.03,704.0,40.5,76.8,9.03,38.1,8.42,2.8,8.07,1.13,5.86,0.95,2.32,0.29,1.6,0.2,4.87,3.99
INTRAPLATE VOLCANICS,29.29,121.42,SAE,s_12YY07-1 [19608],46.18,2.6,12.59,10.18,10.4,9.31,0.16,1.93,2.98,0.83,11.72,225.0,71.6,123.0,21.1,203.0,207.0,69.4,40.8,968.0,27.6,227.0,72.0,0.56,526.0,41.5,79.8,9.34,39.5,8.43,2.92,8.08,1.13,5.76,0.97,2.38,0.3,1.79,0.21,5.13,3.88
INTRAPLATE VOLCANICS,29.29,121.42,SAE,s_12YY07-2 [19608],45.24,2.63,12.85,10.35,9.82,9.62,0.16,1.8,4.61,0.81,11.2,209.0,59.5,121.0,20.5,200.0,198.0,58.2,37.7,881.0,27.4,230.0,74.5,0.5,538.0,42.1,79.6,9.35,39.8,8.36,2.89,7.99,1.14,5.81,0.97,2.38,0.29,1.67,0.22,5.24,4.01
INTRAPLATE VOLCANICS,29.29,121.42,SAE,s_12YY12-1 [19608],48.82,2.24,12.68,9.66,9.7,9.87,0.15,1.39,2.5,0.56,10.9,254.0,61.7,114.0,20.4,190.0,286.0,61.2,22.6,713.0,23.6,163.0,46.1,0.16,441.0,28.0,54.0,6.41,27.6,6.38,2.22,6.31,0.91,4.88,0.83,2.11,0.28,1.52,0.19,3.91,2.44
INTRAPLATE VOLCANICS,29.29,121.42,SAE,s_12YY08-1 [19608],46.46,2.51,12.66,10.19,10.33,10.07,0.16,1.66,2.74,0.82,11.33,213.0,63.7,117.0,20.6,198.0,212.0,67.1,40.9,887.0,26.7,211.0,68.1,0.64,517.0,39.5,74.9,8.72,36.5,8.13,2.8,7.61,1.08,5.58,0.96,2.33,0.29,1.65,0.21,4.8,3.68
INTRAPLATE VOLCANICS,29.29,121.42,SAE,s_12YY09-1 [19608],46.49,2.58,12.66,10.32,10.15,10.57,0.17,1.51,2.09,0.81,11.67,239.0,63.8,120.0,21.0,205.0,215.0,75.3,31.9,893.0,27.4,224.0,71.9,0.54,543.0,41.0,77.7,9.12,38.4,8.32,2.85,7.96,1.11,5.78,0.96,2.43,0.31,1.63,0.23,5.03,3.89
OCEAN ISLAND,65.5908,-16.8082,SAE,s_A58 [19680],48.08458555,2.1062777109999997,13.54361348,10.65,8.157489675,4.43854663,0.253744515,0.374669635,2.434361439,0.246806188,15.67,38.42721803,153.29196480000002,115.2097054,40.10287397,417.689667,10.75904723,65.45756627,6.66002477,139.19694330000002,37.4578994,160.8021996,14.53961877,0.0888,91.11386209,13.55514455,34.62100184,4.490799729,19.93227517,5.213727236,1.739985497,5.806077512000001,1.058714242,6.642310455,1.406102529,4.056782741,0.615550962,4.3370399939999995,0.5303046770000001,3.870473847,0.959796577
OCEAN ISLAND,65.5889,-16.8101,SAE,s_A19 [19680],50.75028773,2.0187626819999998,13.34592961,10.45,8.672644657000001,4.315732958,0.249081167,0.420826649,2.74893207,0.250085526,15.84,43.86707492,146.8504816,109.11661799999999,36.37151204,460.00884699999995,7.8134,57.84263009,7.936423927000001,141.51467309999998,45.68460723,192.94789369999998,13.59142865,0.0778,104.20407759999999,14.74750965,36.29929196,4.781695411,23.33827989,6.18832568,1.9228706340000001,6.834667124,1.216900187,7.683048016,1.6124500130000001,5.14498019,0.712547229,5.506233837000001,0.7464350129999999,5.346158313,0.863204931
